ID,Organisation,Country,Latitude,Longitude
391,Arianespace,France,46.227638,2.213749
392,Roscosmos,Kazakhstan,48.019573,66.923684
393,CASC,China,35.86166,104.195397
394,ULA,USA,37.09024,-95.712891
395,Roscosmos,Kazakhstan,48.019573,66.923684
396,Arianespace,France,46.227638,2.213749
397,CASC,China,35.86166,104.195397
398,ULA,USA,37.09024,-95.712891
399,CASC,China,35.86166,104.195397
400,CASC,China,35.86166,104.195397
401,MHI,Japan,36.204824,138.252924
402,Roscosmos,Kazakhstan,48.019573,66.923684
403,Northrop,USA,37.09024,-95.712891
404,CASC,China,35.86166,104.195397
405,Blue Origin,USA,37.09024,-95.712891
406,Arianespace,France,46.227638,2.213749
407,ISRO,India,20.593684,78.96288
408,Arianespace,France,46.227638,2.213749
409,CASC,China,35.86166,104.195397
410,IAI,Israel,31.046051,34.851612
411,ULA,USA,37.09024,-95.712891
412,ISRO,India,20.593684,78.96288
413,SpaceX,USA,37.09024,-95.712891
414,CASC,China,35.86166,104.195397
415,Arianespace,France,46.227638,2.213749
416,ULA,USA,37.09024,-95.712891
417,CASC,China,35.86166,104.195397
418,SpaceX,USA,37.09024,-95.712891
419,CASC,China,35.86166,104.195397
420,CASC,China,35.86166,104.195397
421,ULA,USA,37.09024,-95.712891
422,SpaceX,USA,37.09024,-95.712891
423,Roscosmos,Kazakhstan,48.019573,66.923684
424,Roscosmos,Kazakhstan,48.019573,66.923684
425,CASC,China,35.86166,104.195397
426,CASC,China,35.86166,104.195397
427,ULA,USA,37.09024,-95.712891
428,ISRO,India,20.593684,78.96288
429,Blue Origin,USA,37.09024,-95.712891
430,Arianespace,France,46.227638,2.213749
431,SpaceX,USA,37.09024,-95.712891
432,CASC,China,35.86166,104.195397
433,ULA,USA,37.09024,-95.712891
434,ILS,Kazakhstan,48.019573,66.923684
435,VKS RF,Russia,61.52401,105.318756
436,CASC,China,35.86166,104.195397
437,VKS RF,Russia,61.52401,105.318756
438,SpaceX,USA,37.09024,-95.712891
439,Arianespace,France,46.227638,2.213749
440,CASC,China,35.86166,104.195397
441,SpaceX,USA,37.09024,-95.712891
442,ISRO,India,20.593684,78.96288
443,Roscosmos,Russia,61.52401,105.318756
444,Arianespace,France,46.227638,2.213749
445,SpaceX,USA,37.09024,-95.712891
446,CASC,China,35.86166,104.195397
447,Blue Origin,USA,37.09024,-95.712891
448,Roscosmos,Kazakhstan,48.019573,66.923684
449,CASC,China,35.86166,104.195397
450,VKS RF,Russia,61.52401,105.318756
451,ULA,USA,37.09024,-95.712891
452,Roscosmos,Kazakhstan,48.019573,66.923684
453,Roscosmos,Kazakhstan,48.019573,66.923684
454,Roscosmos,Kazakhstan,48.019573,66.923684
455,ISRO,India,20.593684,78.96288
456,Arianespace,France,46.227638,2.213749
457,SpaceX,USA,37.09024,-95.712891
458,MHI,Japan,36.204824,138.252924
459,Eurockot,Russia,61.52401,105.318756
460,ULA,USA,37.09024,-95.712891
461,KCST,North Korea,40.339852,127.510093
462,VKS RF,Russia,61.52401,105.318756
463,ULA,USA,37.09024,-95.712891
464,CASC,China,35.86166,104.195397
465,ILS,Kazakhstan,48.019573,66.923684
466,Arianespace,France,46.227638,2.213749
467,Blue Origin,USA,37.09024,-95.712891
468,ISRO,India,20.593684,78.96288
469,SpaceX,USA,37.09024,-95.712891
470,CASC,China,35.86166,104.195397
471,SpaceX,USA,37.09024,-95.712891
472,Arianespace,France,46.227638,2.213749
473,ISRO,India,20.593684,78.96288
474,Roscosmos,Kazakhstan,48.019573,66.923684
475,ULA,USA,37.09024,-95.712891
476,VKS RF,Russia,61.52401,105.318756
477,Arianespace,France,46.227638,2.213749
478,MHI,Japan,36.204824,138.252924
479,Blue Origin,USA,37.09024,-95.712891
480,Arianespace,France,46.227638,2.213749
481,Sandia,Pacific Missile Range Facility,,
482,ULA,USA,37.09024,-95.712891
483,ULA,USA,37.09024,-95.712891
484,ULA,USA,37.09024,-95.712891
485,Arianespace,France,46.227638,2.213749
486,ISRO,India,20.593684,78.96288
487,CASC,China,35.86166,104.195397
488,VKS RF,Russia,61.52401,105.318756
489,CASC,China,35.86166,104.195397
490,Arianespace,France,46.227638,2.213749
491,ULA,USA,37.09024,-95.712891
492,ISRO,India,20.593684,78.96288
493,Arianespace,France,46.227638,2.213749
494,MHI,Japan,36.204824,138.252924
495,ULA,USA,37.09024,-95.712891
496,Arianespace,France,46.227638,2.213749
497,ULA,USA,37.09024,-95.712891
498,ISRO,India,20.593684,78.96288
499,SpaceX,USA,37.09024,-95.712891
500,Arianespace,France,46.227638,2.213749
501,Arianespace,France,46.227638,2.213749
502,ULA,USA,37.09024,-95.712891
503,Blue Origin,USA,37.09024,-95.712891
504,SpaceX,USA,37.09024,-95.712891
505,Arianespace,France,46.227638,2.213749
506,SpaceX,USA,37.09024,-95.712891
507,VKS RF,Russia,61.52401,105.318756
508,ISRO,India,20.593684,78.96288
509,Arianespace,France,46.227638,2.213749
510,MHI,Japan,36.204824,138.252924
511,Kosmotras,Russia,61.52401,105.318756
512,ULA,USA,37.09024,-95.712891
513,ULA,USA,37.09024,-95.712891
514,SpaceX,USA,37.09024,-95.712891
515,ISA,Iran,32.427908,53.688046
516,SpaceX,USA,37.09024,-95.712891
517,Arianespace,France,46.227638,2.213749
518,ISA,Iran,32.427908,53.688046
519,MHI,Japan,36.204824,138.252924
520,ULA,USA,37.09024,-95.712891
521,ULA,USA,37.09024,-95.712891
522,SpaceX,USA,37.09024,-95.712891
523,Khrunichev,Russia,61.52401,105.318756
524,VKS RF,Kazakhstan,48.019573,66.923684
525,Arianespace,France,46.227638,2.213749
526,ISRO,India,20.593684,78.96288
527,ULA,USA,37.09024,-95.712891
528,Arianespace,France,46.227638,2.213749
529,ULA,USA,37.09024,-95.712891
530,MHI,Japan,36.204824,138.252924
531,CASIC,China,35.86166,104.195397
532,Kosmotras,Russia,61.52401,105.318756
533,ULA,USA,37.09024,-95.712891
534,Northrop,USA,37.09024,-95.712891
535,Arianespace,France,46.227638,2.213749
536,ISRO,India,20.593684,78.96288
537,MHI,Japan,36.204824,138.252924
538,SpaceX,USA,37.09024,-95.712891
539,ULA,USA,37.09024,-95.712891
540,Arianespace,France,46.227638,2.213749
541,SpaceX,USA,37.09024,-95.712891
542,Arianespace,France,46.227638,2.213749
543,ULA,USA,37.09024,-95.712891
544,SpaceX,USA,37.09024,-95.712891
545,ULA,USA,37.09024,-95.712891
546,Arianespace,France,46.227638,2.213749
547,ULA,USA,37.09024,-95.712891
548,SpaceX,USA,37.09024,-95.712891
549,Northrop,USA,37.09024,-95.712891
