ID,Organisation,Country,Latitude,Longitude,Year
482,ULA,USA,37.09024,-95.712891,2015
483,ULA,USA,37.09024,-95.712891,2015
484,ULA,USA,37.09024,-95.712891,2015
485,Arianespace,France,46.227638,2.213749,2015
486,ISRO,India,20.593684,78.96288,2015
487,CASC,China,35.86166,104.195397,2015
488,VKS RF,Russia,61.52401,105.318756,2015
489,CASC,China,35.86166,104.195397,2015
490,Arianespace,France,46.227638,2.213749,2015
491,ULA,USA,37.09024,-95.712891,2015
492,ISRO,India,20.593684,78.96288,2015
493,Arianespace,France,46.227638,2.213749,2015
494,MHI,Japan,36.204824,138.252924,2015
495,ULA,USA,37.09024,-95.712891,2015
496,Arianespace,France,46.227638,2.213749,2015
497,ULA,USA,37.09024,-95.712891,2015
498,ISRO,India,20.593684,78.96288,2015
499,SpaceX,USA,37.09024,-95.712891,2015
500,Arianespace,France,46.227638,2.213749,2015
501,Arianespace,France,46.227638,2.213749,2015
502,ULA,USA,37.09024,-95.712891,2015
503,Blue Origin,USA,37.09024,-95.712891,2015
504,SpaceX,USA,37.09024,-95.712891,2015
505,Arianespace,France,46.227638,2.213749,2015
506,SpaceX,USA,37.09024,-95.712891,2015
507,VKS RF,Russia,61.52401,105.318756,2015
508,ISRO,India,20.593684,78.96288,2015
509,Arianespace,France,46.227638,2.213749,2015
510,MHI,Japan,36.204824,138.252924,2015
511,Kosmotras,Russia,61.52401,105.318756,2015
512,ULA,USA,37.09024,-95.712891,2015
513,ULA,USA,37.09024,-95.712891,2015
514,SpaceX,USA,37.09024,-95.712891,2015
515,ISA,Iran,32.427908,53.688046,2015
516,SpaceX,USA,37.09024,-95.712891,2015
517,Arianespace,France,46.227638,2.213749,2015
518,ISA,Iran,32.427908,53.688046,2015
519,MHI,Japan,36.204824,138.252924,2015
520,ULA,USA,37.09024,-95.712891,2015
521,ULA,USA,37.09024,-95.712891,2015
522,SpaceX,USA,37.09024,-95.712891,2015
523,Khrunichev,Russia,61.52401,105.318756,2014
524,VKS RF,Kazakhstan,48.019573,66.923684,2014
525,Arianespace,France,46.227638,2.213749,2014
526,ISRO,India,20.593684,78.96288,2014
527,ULA,USA,37.09024,-95.712891,2014
528,Arianespace,France,46.227638,2.213749,2014
529,ULA,USA,37.09024,-95.712891,2014
530,MHI,Japan,36.204824,138.252924,2014
531,CASIC,China,35.86166,104.195397,2014
532,Kosmotras,Russia,61.52401,105.318756,2014
533,ULA,USA,37.09024,-95.712891,2014
534,Northrop,USA,37.09024,-95.712891,2014
535,Arianespace,France,46.227638,2.213749,2014
