ID,Organisation,Location,Detail,Rocket_Status,Price(USDbillion),Mission_Status,New_Date,Year,Months,Country,Latitude,Longitude
95,ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",Proton-M/Briz-M | Eutelsat 5 West B & MEV-1,StatusActive,$65.00 ,Success,10/9/2019,2019,October,Kazakhstan,48.019573,66.923684
96,CASC,"LC-9, Taiyuan Satellite Launch Center, China",Long March 4C | Gaofen 10 (Replacement),StatusActive,$64.68 ,Success,10/4/2019,2019,October,China,35.86166,104.195397
97,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",Soyuz 2.1b/Fregat | Cosmos 2541,StatusActive,$48.50 ,Success,9/26/2019,2019,September,Russia,61.52401,105.318756
98,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Soyuz FG | Soyuz MS-15 (61S),StatusRetired,,Success,9/25/2019,2019,September,Kazakhstan,48.019573,66.923684
99,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Long March 2D | Yunhai-1-02,StatusActive,$29.75 ,Success,9/25/2019,2019,September,China,35.86166,104.195397
100,MHI,"LA-Y2, Tanegashima Space Center, Japan",H-IIB | HTV-8,StatusRetired,$112.50 ,Success,9/24/2019,2019,September,Japan,36.204824,138.252924
101,CASC,"LC-2, Xichang Satellite Launch Center, China",Long March 3B/YZ-1 | BeiDou-3 M23 & M24,StatusActive,,Success,9/22/2019,2019,September,China,35.86166,104.195397
102,CASC,"Site 95, Jiuquan Satellite Launch Center, China",Long March 11 | Zhuhai-1 Group 03,StatusActive,$5.30 ,Success,9/19/2019,2019,September,China,35.86166,104.195397
103,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Long March 4B | Ziyuan-2D, BNU-1 & Taurus-1",StatusActive,$64.68 ,Success,9/12/2019,2019,September,China,35.86166,104.195397
104,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",Kuaizhou 1A | KX-09 & Others,StatusActive,,Success,8/30/2019,2019,August,China,35.86166,104.195397
105,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",Rokot/Briz KM | Cosmos 2540,StatusRetired,$41.80 ,Success,8/30/2019,2019,August,Russia,61.52401,105.318756
